title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
Ripper Untold,28/06/2021 (GB),61,Steven Lawson,Steven Lawson,Korku,1h 25m,İngilizce,-,-
Venüs,02/12/2022 (ES),63,Jaume Balagueró,,"Dram,Korku,Gerilim",1h 41m,İspanyolca; Kastilyaca,-,-
Hayat Işığım,01/11/2016 (GB),71,Derek Cianfrance,Derek Cianfrance,"Dram,Romantik",2h 13m,İngilizce,"$20,000,000.00","$25,975,621.00"
Kasırgada Vurgun,25/05/2018 (TR),57,Rob Cohen,,"Aksiyon,Suç,Gerilim",1h 38m,İngilizce,"$35,000,000.00","$32,517,248.00"
Amar Singh Chamkila,12/04/2024 (IN),77,Imtiaz Ali,Imtiaz Ali,"Dram,Müzik",2h 26m,Hintçe,-,-
Mağara Adamı,22/05/1992 (US),58,Les Mayfield,,Komedi,1h 28m,İngilizce,"$7,000,000.00","$40,700,000.00"
Sharknado 5: Global Swarming,06/08/2017 (US),48,Anthony C. Ferrante,Scotty Mullen,"Aksiyon,Komedi,Bilim-Kurgu,TV film,Korku",1h 30m,İngilizce,"$3,000,000.00",-
Suç Öyküsü,24/06/1993 (HK),67,Kirk Wong Chi-Keung,Tin-Nam Chun,"Aksiyon,Suç,Gerilim",1h 47m,Cantonese,-,"$194,720.00"
Aşk Mektubu,22/02/1999 (US),62,Luis Mandoki,,"Romantik,Dram",2h 11m,İngilizce,"$80,000,000.00","$118,880,016.00"
Taksi 3,29/01/2003 (FR),57,Gérard Krawczyk,,"Aksiyon,Komedi",1h 22m,Fransızca,"$14,500,000.00","$65,497,208.00"
Kirli İşler 3,12/12/2003 (HK),69,Alan Mak,Felix Chong,"Suç,Dram,Aksiyon",1h 58m,Çince,"$250,000.00",-
Muppet'lar Aranıyor,13/06/2014 (TR),63,James Bobin,,"Komedi,Macera,Suç,Aile",1h 47m,İngilizce,"$50,000,000.00","$80,400,000.00"
Tutku Oyunları,12/01/2007 (TR),71,Todd Field,,"Dram,Romantik",2h 16m,İngilizce,"$26,000,000.00","$14,800,000.00"
,18/09/1998 (CA),68,Vincenzo Natali,,"Gerilim,Bilim-Kurgu,Gizem",1h 30m,İngilizce,"$257,899.00","$8,969,065.00"
Saatler Sonra,16/08/1985 (TR),75,Martin Scorsese,Joseph Minion,"Komedi,Gerilim,Dram",1h 37m,İngilizce,"$4,500,000.00","$10,609,321.00"
Fındık İşi,17/01/2014 (US),58,Peter Lepeniotis,Peter Lepeniotis,"Animasyon,Komedi,Aile,Macera",1h 25m,İngilizce,"$42,000,000.00","$122,500,000.00"
The Power of the Dog,11/11/2021 (AU),68,Jane Campion,Jane Campion,"Dram,Vahşi Batı",2h 6m,İngilizce,-,-
,05/11/2009 (US),60,Grant Heslov,,"Komedi,Savaş",1h 34m,İngilizce,"$24,000,000.00","$68,729,358.00"
Elm Sokağında Kabus 5: Hayal Çocuk,11/08/1989 (US),54,Stephen Hopkins,,"Korku,Gerilim",1h 29m,İngilizce,"$6,000,000.00","$22,200,000.00"
,18/05/1950 (US),70,Vincente Minnelli,,"Komedi,Romantik,Dram",1h 32m,İngilizce,-,-
D2: The Mighty Ducks,25/03/1994 (US),62,Sam Weisman,,"Komedi,Aksiyon,Aile,Dram",1h 46m,İngilizce,-,"$45,610,410.00"
Satanic Pandemonium,26/06/1975 (MX),65,Gilberto Martínez Solares,Gilberto Martínez Solares,"Korku,Gizem,Gerilim",1h 29m,İspanyolca; Kastilyaca,-,-
Percy Jackson: Canavarlar Denizi,07/08/2013 (US),60,Thor Freudenthal,,"Macera,Aile,Fantastik",1h 46m,İngilizce,"$90,000,000.00","$199,850,315.00"
,01/09/1995 (US),65,Gregory Widen,,"Korku,Fantastik,Gerilim",1h 38m,İngilizce,"$8,000,000.00","$16,115,878.00"
Los Angeles'ta Gizli Görev,16/06/2017 (US),52,Mark Cullen,Mark Cullen,"Aksiyon,Komedi,Gerilim,Gizem",1h 34m,İngilizce,-,"$855,888.00"
Yıldız Savaşları: Klon Savaşları,15/08/2008 (US),61,Dave Filoni,,"Animasyon,Aksiyon,Bilim-Kurgu,Macera",1h 39m,İngilizce,"$8,500,000.00","$68,282,844.00"
Eaten Alive,13/05/1977 (US),54,Tobe Hooper,Kim Henkel,Korku,1h 31m,İngilizce,"$520,000.00",-
Jin-Roh,03/06/2000 (JP),74,Hiroyuki Okiura,,"Animasyon,Dram,Romantik,Gerilim,Bilim-Kurgu",1h 42m,Japonca,-,"$94,072.00"
Beyin Avcıları,04/11/2005 (TR),65,Renny Harlin,,"Gizem,Gerilim,Suç",1h 46m,İngilizce,"$27,000,000.00","$21,100,000.00"
,01/06/1975 (US),57,Jonathan Demme,,"Suç,Aksiyon,Komedi",1h 23m,İngilizce,-,-
Roma İmparatorluğu'nun Çöküşü,26/03/1964 (US),65,Anthony Mann,,"Dram,Tarih,Savaş",3h 8m,İngilizce,"$19,000,000.00","$4,750,000.00"
,01/04/2011 (US),58,Tim Hill,,"Animasyon,Komedi,Aile",1h 35m,İngilizce,"$63,000,000.00","$183,953,723.00"
Downton Abbey,13/09/2019 (GB),71,Michael Engler,,"Dram,Romantik,Tarih",2h 2m,İngilizce,"$20,000,000.00","$194,694,725.00"
May,03/06/2003 (US),65,Lucky McKee,,"Dram,Korku",1h 33m,İngilizce,"$500,000.00","$264,349.00"
,12/10/2008 (US),75,Darren Aronofsky,,"Dram,Romantik",1h 49m,İngilizce,"$6,000,000.00","$44,734,660.00"
Aya Seyahat,17/04/1902 (FR),79,Georges Méliès,,"Macera,Bilim-Kurgu",14m,Fransızca,"$5,985.00",-
48 Saat Daha,08/06/1990 (US),60,Walter Hill,,"Gerilim,Aksiyon,Komedi,Suç,Dram",1h 35m,İngilizce,"$38,000,000.00","$153,518,974.00"
Mobile Suit Gundam Hathaway,11/06/2021 (JP),74,Shuko Murase,,"Animasyon,Aksiyon,Dram,Bilim-Kurgu",1h 36m,Japonca,-,-
,21/07/2007 (US),68,Quentin Tarantino,Quentin Tarantino,"Aksiyon,Gerilim",1h 53m,İngilizce,"$25,000,000.00","$31,126,421.00"
,19/04/1996 (TR),62,Jean-Claude Van Damme,,"Aksiyon,Macera,Dram",1h 35m,İngilizce,"$30,000,000.00","$57,400,547.00"
Eve'nin Sırrı,07/11/1997 (US),63,Kasi Lemmons,Kasi Lemmons,Dram,1h 49m,İngilizce,"$6,000,000.00","$14,842,388.00"
,20/06/2017 (US),66,Johnny Castuciano,Doug Langdale,"Aile,Fantastik,Animasyon,Komedi,Macera",35m,İngilizce,-,-
Damdaki Kemancı,03/11/1971 (US),77,Norman Jewison,,"Dram,Romantik",3h 1m,İngilizce,"$9,000,000.00","$83,304,330.00"
Titanik Faciası,11/04/1953 (US),66,Jean Negulesco,,"Dram,Romantik",1h 38m,İngilizce,"$1,805,000.00","$4,905,000.00"
Scooby-Doo ve Siber Takip,09/10/2001 (US),73,Jim Stenstrum,Mark Turosz,"Animasyon,Macera,Komedi",1h 13m,İngilizce,-,-
,10/10/1962 (US),68,Richard Fleischer,Christopher Fry,"Tarih,Dram,Macera",2h 17m,İngilizce,-,-
Kanlı Teklif,06/10/2005 (AU),70,John Hillcoat,,"Aksiyon,Macera,Suç,Dram,Gerilim,Vahşi Batı",1h 44m,İngilizce,"$2,000,000.00","$5,048,693.00"
Ritim Bölümü,31/01/2020 (IE),55,Reed Morano,,"Aksiyon,Gerilim",1h 49m,İngilizce,"$50,000,000.00","$5,989,583.00"
The Hollywood Knights,18/05/1980 (US),60,Floyd Mutrux,,Komedi,1h 31m,İngilizce,"$2,500,000.00","$10,000,000.00"
Küçük Kadınlar,21/12/1994 (US),73,Gillian Armstrong,,"Dram,Romantik",1h 55m,İngilizce,"$18,000,000.00","$50,083,616.00"
,26/08/1983 (US),67,Ralph Bakshi,,"Animasyon,Fantastik,Bilim-Kurgu",1h 21m,İngilizce,"$1,200,000.00","$760,883.00"
,13/05/2016 (GB),56,Steven Gomez,Steven Gomez,"Aksiyon,Korku,Bilim-Kurgu,Gerilim",1h 39m,İngilizce,-,-
Cruel Fixation,10/10/2019 (US),69,Damián Romay,,Gerilim,1h 30m,İngilizce,-,-
Utanç,03/02/2012 (TR),69,Steve McQueen,,Dram,1h 42m,İngilizce,"$6,500,000.00","$3,909,002.00"
Şeytana Sempati,08/09/2023 (TR),60,Yuval Adler,Luke Paradise,"Aksiyon,Gerilim",1h 30m,İngilizce,-,-
Kara Gölün Canavarı,05/03/1954 (US),68,Jack Arnold,,"Macera,Korku,Bilim-Kurgu",1h 19m,İngilizce,-,"$1,300,000.00"
Yentl,18/11/1983 (US),66,Barbra Streisand,,"Müzik,Dram,Romantik",2h 12m,İngilizce,"$12,000,000.00","$30,400,000.00"
The Squad: Home Run,25/08/2023 (FR),64,Benjamin Rocher,,"Aksiyon,Gerilim,Suç,Dram",1h 33m,Fransızca,-,-
Gururlu Mary,12/01/2018 (US),55,Babak Najafi,,"Gerilim,Aksiyon,Suç",1h 28m,İngilizce,"$14,000,000.00","$21,753,365.00"
Benim Aşkım Satılık Değil,14/08/1987 (US),70,Steve Rash,Michael Swerdlick,"Dram,Komedi,Romantik",1h 34m,İngilizce,"$1,800,000.00","$31,623,833.00"
Bitmeyen Sınav,01/03/2024 (TR),83,Vidhu Vinod Chopra,Vidhu Vinod Chopra,Dram,2h 27m,Hintçe,-,-
Memories,23/12/1995 (JP),74,Katsuhiro Otomo,,"Fantastik,Animasyon,Bilim-Kurgu",1h 53m,Japonca,-,-
The Boy Behind The Door,27/09/2020 (US),63,Justin Powell,Justin Powell,Korku,1h 28m,İngilizce,-,-
Annemle Yollarda,01/03/2013 (TR),56,Anne Fletcher,,Komedi,1h 35m,İngilizce,"$40,000,000.00","$41,863,726.00"
Scooby-Doo! Kılıç ve Scoob,23/02/2021 (US),77,Maxwell Atoms,Maxwell Atoms,"Animasyon,Komedi,Aile,Gizem,Macera,Fantastik",1h 16m,İngilizce,-,-
Perde Açılıyor,09/11/1950 (US),81,Joseph L. Mankiewicz,,Dram,2h 19m,İngilizce,"$1,400,000.00","$8,400,000.00"
Kürklü Venüs,13/11/2013 (FR),73,Roman Polanski,,Dram,1h 36m,Fransızca,-,"$342,183.00"
Havalı Rekabet,23/04/1999 (US),59,Mike Newell,,"Komedi,Dram",2h 4m,İngilizce,"$33,000,000.00","$8,408,835.00"
Pembe Panter 2,06/02/2009 (US),57,Harald Zwart,,"Komedi,Gizem",1h 32m,İngilizce,-,"$75,871,032.00"
İhlal: Yaşam Karşıtı,18/12/2020 (US),42,John Suits,Corey Large,"Bilim-Kurgu,Aksiyon,Korku",1h 32m,İngilizce,-,"$39,328.00"
,06/08/2008 (US),66,David Gordon Green,,"Aksiyon,Komedi,Suç",1h 51m,İngilizce,"$27,000,000.00","$101,624,843.00"
Radio,24/10/2003 (US),72,Michael Tollin,Mike Rich,Dram,1h 49m,İngilizce,"$35,000,000.00","$53,293,628.00"
İskelet Anahtar,26/08/2005 (TR),66,Iain Softley,Ehren Kruger,"Dram,Korku,Gizem,Gerilim",1h 44m,İngilizce,"$43,000,000.00","$93,983,911.00"
,05/11/2015 (US),61,Olly Blackburn,Anthony Jaswinski,"Gerilim,Korku",1h 26m,İngilizce,"$6,900,000.00",-
Casuslar Kampı,29/05/1953 (US),77,Billy Wilder,Billy Wilder,"Komedi,Dram,Savaş",2h,İngilizce,"$1,661,530.00",-
Evimde Uzaylı Var,31/07/2009 (US),57,John Schultz,,"Macera,Komedi,Aile,Fantastik,Bilim-Kurgu",1h 26m,İngilizce,"$45,000,000.00","$57,881,056.00"
Vexille,18/08/2007 (JP),67,Fumihiko Sori,,"Animasyon,Bilim-Kurgu",1h 49m,Japonca,-,-
Street of a Thousand Pleasures,19/04/1972 (US),50,William Rotsler,William Rotsler,Fantastik,1h 16m,İngilizce,-,-
Kahraman Hamburgerci,25/07/1997 (US),61,Brian Robbins,Dan Schneider,"Aile,Komedi",1h 35m,İngilizce,"$8,500,000.00","$23,700,000.00"
Apollo 10½: Uzay Çağında Çocuk Olmak,24/03/2022 (US),71,Richard Linklater,Richard Linklater,"Animasyon,Komedi,Bilim-Kurgu",1h 38m,İngilizce,-,-
34. Cadde'de Mucize,18/11/1994 (US),67,Les Mayfield,,"Fantastik,Dram,Aile",1h 54m,İngilizce,-,"$46,264,384.00"
Ayın Karanlık Yüzü: Hitler'in Çocukları,09/08/2019 (TR),51,Timo Vuorensola,Timo Vuorensola,"Aksiyon,Komedi,Fantastik,Bilim-Kurgu",1h 30m,İngilizce,"$21,000,000.00","$400,900.00"
,13/11/2015 (US),59,Paul Bettany,Paul Bettany,Dram,1h 45m,İngilizce,-,-
Afrika Kaplanı,17/01/1998 (HK),71,Jackie Chan,,"Macera,Aksiyon,Komedi,Gerilim",2h,Cantonese,-,-
Coup de Chance,27/09/2023 (FR),63,Woody Allen,Woody Allen,"Komedi,Dram,Romantik",1h 36m,Fransızca,"$10,000,000.00","$3,767,399.00"
,08/05/2020 (US),61,Keola Racela,,"Komedi,Korku",1h 38m,İngilizce,-,-
Urotsukidōji: Legend of the Overfiend,18/03/1989 (JP),60,Hideki Takayama,Toshio Maeda,"Animasyon,Aksiyon,Korku,Fantastik",1h 48m,Japonca,-,-
Yüce Adalet,19/08/2016 (TR),65,Courtney Hunt,Nicholas Kazan,"Dram,Gerilim",1h 33m,İngilizce,-,-
,05/06/2020 (US),63,Cary Murnion,Ruckus Skye,"Gerilim,Korku,Aksiyon",1h 33m,İngilizce,-,"$1,045,873.00"
İyi Şanslar Chuck,21/09/2007 (US),59,Mark Helfrich,,"Komedi,Romantik",1h 41m,İngilizce,"$25,000,000.00","$59,768,495.00"
Aylaklar,17/09/1953 (IT),77,Federico Fellini,,"Dram,Komedi",1h 43m,İtalyanca,-,-
Kör Şiddet,16/03/1990 (US),66,Phillip Noyce,,"Aksiyon,Gerilim",1h 26m,İngilizce,"$20,000,000.00","$2,700,000.00"
Dövüş Kulübü,08/12/2020 (US),49,James Kermack,James Kermack,"Aksiyon,Gerilim",1h 45m,İngilizce,-,-
Rastlantının Böylesi,23/04/1998 (US),66,Peter Howitt,,"Komedi,Dram,Fantastik,Romantik",1h 39m,İngilizce,"$6,000,000.00","$58,809,149.00"
Ejder'in Öpücüğü,06/07/2001 (US),68,Chris Nahon,,"Aksiyon,Suç,Gerilim",1h 38m,İngilizce,"$25,000,000.00","$64,437,847.00"
Sharper,10/02/2023 (US),70,Benjamin Caron,Alessandro Tanaka,"Gerilim,Suç,Dram",1h 56m,İngilizce,-,-
Slapface,20/03/2021 (US),59,Jeremiah Kipp,Jeremiah Kipp,"Korku,Gerilim",1h 25m,İngilizce,-,"$2,300,000.00"
Şah Mat,02/10/2015 (TR),68,Edward Zwick,,"Gerilim,Dram",1h 55m,İngilizce,"$19,000,000.00","$5,600,000.00"
,11/05/2022 (US),76,Richard Wong,,"Komedi,Romantik",2h 4m,İngilizce,-,-
Domino,31/05/2019 (US),47,Brian De Palma,,"Suç,Gerilim",1h 29m,İngilizce,"$7,800,000.00",-
The Falling Sky,19/05/2024 (FR),0,Eryk Rocha,David Kopenawa Yanomami,Belgesel,1h 50m,Portekizce,-,-
Tanrının Zırhı 2,07/02/1991 (HK),73,Jackie Chan,,"Aksiyon,Macera,Suç,Gerilim",1h 46m,Cantonese,"$15,000,000.00","$24,100,000.00"
NiNoKuni,23/08/2019 (JP),65,Yoshiyuki Momose,,"Animasyon,Aksiyon,Macera,Aile,Fantastik,Romantik",1h 46m,Japonca,-,-
Ateşkes,09/11/2005 (FR),74,Christian Carion,,"Dram,Savaş,Romantik,Tarih",1h 56m,Fransızca,"$22,000,000.00","$17,709,155.00"
Oyun Vakti,16/12/1967 (FR),78,Jacques Tati,,Komedi,1h 55m,Fransızca,-,-
Tamako Love Story,26/04/2014 (JP),71,Naoko Yamada,,"Romantik,Animasyon,Komedi",1h 23m,Japonca,-,-
,11/05/2022 (US),59,Alex Hardcastle,,Komedi,1h 54m,İngilizce,-,-
The Golden Child,12/12/1986 (US),59,Michael Ritchie,,"Aksiyon,Macera,Komedi",1h 34m,İngilizce,"$25,000,000.00","$79,817,939.00"
,29/11/2023 (BE),78,Laetitia Colombani,Laetitia Colombani,"Dram,Komedi",2h 1m,İngilizce,"$8,500,000.00","$9,235,757.00"
Son Vurgun,16/05/2012 (FR),63,Baltasar Kormákur,,"Gerilim,Aksiyon,Dram,Suç",1h 49m,İngilizce,"$25,000,000.00","$96,262,212.00"
Vahşi Günler,15/12/1990 (HK),73,Wong Kar-wai,Wong Kar-wai,"Suç,Dram,Romantik",1h 34m,Cantonese,-,"$3,255,404.00"
Arslanı Kuzulara,22/10/2007 (US),60,Robert Redford,Matthew Michael Carnahan,"Aksiyon,Macera,Dram,Tarih",1h 32m,İngilizce,"$35,000,000.00","$64,811,540.00"
Kötülük Diye Bir Şey Yok,26/04/2024 (JP),68,Ryūsuke Hamaguchi,,Dram,1h 46m,Japonca,-,-
,18/04/1998 (JP),72,Kenji Kodama,,"Animasyon,Suç,Gizem,Macera",1h 40m,Japonca,-,"$16,330,622.00"
Flashback,10/12/2021 (CA),62,Christopher MacBride,Christopher MacBride,Gerilim,1h 37m,İngilizce,-,"$26,747.00"
Dünya'dan Sonra,16/06/2000 (US),66,Gary Goldman,,"Animasyon,Aksiyon,Bilim-Kurgu,Aile,Macera",1h 34m,İngilizce,"$75,000,000.00","$36,754,634.00"
Kara Düzen,20/11/2015 (TR),65,Scott Cooper,,"Dram,Suç,Tarih",2h 3m,İngilizce,"$53,000,000.00","$99,975,678.00"
The Lair of the White Worm,21/09/1988 (US),59,Ken Russell,,"Korku,Komedi",1h 33m,İngilizce,"$2,500,000.00","$1,189,315.00"
,26/04/2013 (TR),62,Niels Arden Oplev,,"Gerilim,Aksiyon,Suç,Dram",1h 58m,İngilizce,"$30,000,000.00","$19,600,000.00"
Alone in Berlin,13/01/2017 (US),67,Vincent Perez,,"Savaş,Gerilim,Dram",1h 43m,İngilizce,-,"$33,125.00"
Hedef Noktası,09/08/2007 (HK),69,Wilson Yip,Nicholl Tang,Aksiyon,1h 28m,Cantonese,"$8,000,000.00","$6,177,725.00"
Özgürlük Savaşçısı 2,03/11/2011 (US),38,Uwe Boll,Michael Nachoff,"Macera,Fantastik,Dram,Aksiyon",1h 36m,İngilizce,"$4,500,000.00",-
Ali,10/12/2001 (US),68,Michael Mann,,Dram,2h 37m,İngilizce,"$107,000,000.00","$87,700,000.00"
Hillbilly Elegy,24/11/2020 (TR),67,Ron Howard,Vanessa Taylor,Dram,1h 56m,İngilizce,-,-
Bir Amerikan Suçu,07/12/2007 (US),73,Tommy O'Haver,,"Suç,Dram,Korku",1h 37m,İngilizce,"$2,000,000.00",-
,10/02/2024 (VN),78,Trấn Thành,,"Romantik,Dram",2h 11m,Vietnamca,-,-
Gemide İsyan,04/05/1984 (US),67,Roger Donaldson,,"Aksiyon,Dram,Tarih",2h 12m,İngilizce,"$25,000,000.00","$8,613,462.00"
Kız Kardeşime Ne Oluyor?,17/05/2014 (JP),61,Iggy Coen,,"Komedi,Fantastik,Romantik",1h 57m,Japonca,-,-
Diş Perisi,09/05/2003 (TR),55,Jonathan Liebesman,,"Gerilim,Korku",1h 26m,İngilizce,-,-
İntikam Yarışı,08/09/1995 (US),64,Gordon Chan,Chan Hing-Kai,"Aksiyon,Gerilim",1h 48m,Cantonese,-,-
,12/06/2020 (US),70,Judd Apatow,Judd Apatow,"Komedi,Dram",2h 16m,İngilizce,"$35,000,000.00","$2,200,000.00"
"Marslılar, Annem ve Ben",11/03/2011 (US),60,Simon Wells,Wendy Wells,"Macera,Animasyon,Aile",1h 28m,İngilizce,"$150,000,000.00","$39,000,000.00"
,25/12/2019 (FR),60,Hirokazu Kore-eda,,Dram,1h 47m,Fransızca,-,"$4,873,627.00"
Tanrının Vadisinde,28/03/2008 (TR),68,Paul Haggis,,"Tarih,Dram,Gerilim,Suç,Gizem",2h 4m,İngilizce,"$23,000,000.00","$29,541,790.00"
Beşikteki El,10/01/1992 (US),69,Curtis Hanson,,"Dram,Gerilim",1h 50m,İngilizce,"$11,700,000.00","$88,036,683.00"
,14/09/2012 (US),71,Mark A. Walsh,Mark A. Walsh,"Aile,Animasyon,Komedi",7m,İngilizce,-,-
Salgın,25/10/2018 (KR),69,Kim Sung-hoon,,"Aksiyon,Korku,Dram,Fantastik",2h 2m,Korece,-,-
Fil,24/10/2003 (US),71,Gus Van Sant,,"Suç,Dram",1h 21m,İngilizce,"$3,000,000.00","$10,000,000.00"
Oda,21/08/2020 (TR),64,Christian Volckman,Christian Volckman,"Korku,Dram,Gizem,Bilim-Kurgu",1h 40m,İngilizce,-,"$44,291.00"
,17/08/2001 (US),60,John Madden,,"Dram,Romantik,Savaş",2h 11m,İngilizce,"$57,000,000.00","$62,112,895.00"
Wendell ve Wild,21/10/2022 (US),67,Henry Selick,,"Animasyon,Komedi,Fantastik,Korku",1h 46m,İngilizce,-,-
,01/08/2014 (JP),76,Keishi Otomo,,"Aksiyon,Macera,Dram,Fantastik",2h 18m,Japonca,-,-
,31/10/2019 (ES),69,Jose Mari Goenaga,,"Dram,Tarih,Gerilim",2h 28m,İspanyolca; Kastilyaca,-,-
Yeni Yıl Işıkları,22/11/2006 (US),56,John Whitesell,Matt Corman,"Komedi,Aile",1h 33m,İngilizce,"$51,000,000.00","$47,231,070.00"
Yüz Yaşında Camdan Atlayıp Kaybolan Adam,25/12/2013 (SE),68,Felix Herngren,,"Macera,Komedi,Dram",1h 54m,İsveçce,"$9,250,000.00","$51,200,000.00"
Superman/Batman: Kıyamet,28/09/2010 (US),72,Lauren Montgomery,,"Bilim-Kurgu,Aksiyon,Macera,Animasyon",1h 18m,İngilizce,"$3,500,000.00",-
Tek Gecelik Aşk,14/02/2014 (US),60,Steve Pink,,"Komedi,Romantik",1h 40m,İngilizce,"$12,500,000.00","$49,002,684.00"
Jurassic World Kretase Kampı: Saklı Macera,15/11/2022 (TR),56,Leah Artwick,Bethany Armstrong Johnson,"Aksiyon,Macera,Animasyon",32m,İngilizce,-,-
,01/05/2009 (US),60,Mark Waters,,"Fantastik,Komedi,Romantik",1h 55m,İngilizce,"$37,500,000.00","$102,223,269.00"
,25/04/2012 (KR),70,Jung Ji-woo,Jung Ji-woo,"Dram,Romantik",2h 9m,Korece,-,"$9,048,531.00"
Altınlı Kadın,10/04/2015 (TR),73,Simon Curtis,Alexi Kaye Campbell,Dram,1h 49m,İngilizce,"$11,000,000.00","$61,619,773.00"
Noel Baba,11/11/1994 (US),65,John Pasquin,,"Fantastik,Dram,Komedi,Aile",1h 37m,İngilizce,"$22,000,000.00","$189,833,357.00"
,08/09/2006 (TR),51,Ivan Reitman,,"Komedi,Bilim-Kurgu,Romantik",1h 35m,İngilizce,-,"$61,108,981.00"
Görünmeden Yürümek: Brontë Kardeşler,26/12/2016 (GB),71,Sally Wainwright,Sally Wainwright,"Dram,Tarih",2h,İngilizce,-,-
Burlesque,23/11/2010 (US),72,Steve Antin,Steve Antin,"Dram,Romantik",1h 59m,İngilizce,"$55,000,000.00","$89,500,000.00"
Yatağımdaki Düşman,08/02/1991 (US),65,Joseph Ruben,,"Dram,Suç,Gerilim",1h 39m,İngilizce,"$19,000,000.00","$175,000,000.00"
Solgun Mavi Gözler,06/01/2023 (TR),69,Scott Cooper,Scott Cooper,"Gerilim,Suç,Korku,Gizem",2h 8m,İngilizce,"$72,000,000.00",-
Gelecek Dünya,12/02/2021 (US),70,Mona Fastvold,,"Romantik,Dram,Vahşi Batı",1h 45m,İngilizce,-,-
Acil Teslimat,24/08/2012 (US),63,David Koepp,David Koepp,"Suç,Aksiyon,Gerilim",1h 31m,İngilizce,"$35,000,000.00","$31,100,000.00"
Yeni Yıl Soygunu,26/11/2003 (US),65,Terry Zwigoff,John Requa,"Dram,Komedi,Suç",1h 32m,İngilizce,"$23,000,000.00","$76,500,000.00"
Üşütük Popolar,01/10/1993 (US),70,Jon Turteltaub,,"Komedi,Macera,Dram",1h 38m,İngilizce,"$14,000,000.00","$154,856,263.00"
Sesler,19/01/2014 (US),62,Marjane Satrapi,Michael R. Perry,"Komedi,Suç,Korku,Fantastik",1h 41m,İngilizce,-,-
Pokémon: Lucario ve Miyav 'ın Gizemi,16/07/2005 (JP),70,Kunihiko Yuyama,,"Aile,Macera,Animasyon,Fantastik,Aksiyon,Bilim-Kurgu",1h 43m,Japonca,-,-
Sex Plate 17,13/11/2017 (KR),62,Song Eun-joo,,"Komedi,Dram,Romantik",2h 1m,Korece,-,-
Lanet 2,21/08/2015 (CA),59,Ciarán Foy,C. Robert Cargill,Korku,1h 37m,İngilizce,"$10,000,000.00","$53,329,150.00"
,14/04/1934 (US),65,Burt Gillett,,Animasyon,9m,İngilizce,"$27,878.00",-
Mutlak Savaş,07/10/1964 (US),78,Sidney Lumet,,"Gerilim,Dram,Savaş",1h 52m,İngilizce,-,-
Asteriks: Sihirli İksirin Sırrı,05/12/2018 (FR),69,Alexandre Astier,Alexandre Astier,"Aile,Animasyon,Komedi,Macera",1h 25m,Fransızca,-,"$47,349,002.00"
Snoopy Presents: One-of-a-Kind Marcie,17/08/2023 (US),81,Raymond S. Persi,Betsy Walters,"Animasyon,Aile",39m,İngilizce,-,-
Pas ve Kemik,03/05/2013 (TR),72,Jacques Audiard,,"Dram,Romantik",2h 3m,Fransızca,"$15,400,000.00","$25,762,027.00"
,31/07/2009 (TR),64,Tony Scott,,"Suç,Gerilim,Aksiyon",1h 46m,İngilizce,"$100,000,000.00","$150,166,126.00"
Efsane Avcısı,05/12/2004 (US),63,Peter Winther,,"Macera,Aksiyon,Fantastik",1h 46m,İngilizce,-,-
Florence,06/05/2016 (GB),67,Stephen Frears,Stephen Frears,"Komedi,Dram",1h 50m,İngilizce,"$29,000,000.00","$48,902,953.00"
Spektral,09/12/2016 (TR),65,Nic Mathieu,George Nolfi,"Bilim-Kurgu,Gerilim,Aksiyon",1h 48m,İngilizce,"$70,000,000.00",-
Gecenin Dişleri,20/10/2021 (GB),64,Adam Randall,,"Korku,Gerilim,Aksiyon",1h 48m,İngilizce,"$21,700,000.00",-
,18/03/2017 (JP),77,Shunsuke Tada,,Animasyon,1h 30m,Moldavya Dili,-,-
Perfect Creature,24/04/2006 (US),54,Glenn Standring,Glenn Standring,"Aksiyon,Bilim-Kurgu,Dram,Fantastik,Korku",1h 30m,İngilizce,-,-
Love Strikes Twice,02/10/2021 (US),65,Jeff Beesley,,"TV film,Komedi,Romantik,Gizem,Dram",1h 24m,İngilizce,-,-
Çevirmen,22/04/2005 (TR),63,Sydney Pollack,,"Suç,Gerilim",2h 8m,İngilizce,"$80,000,000.00","$162,944,923.00"
,10/09/2021 (TR),74,Yann Gozlan,,"Gizem,Gerilim,Dram",2h 9m,Fransızca,"$10,722,240.00","$9,738,741.00"
Uçurtma Avcısı,21/03/2008 (TR),73,Marc Forster,,Dram,2h 7m,İngilizce,"$20,000,000.00","$73,276,047.00"
The Black Square,25/11/2021 (DE),50,Peter Meister,,"Komedi,Suç",1h 45m,Almanca,-,-
Lou,23/09/2022 (TR),65,Anna Foerster,,"Aksiyon,Gerilim",1h 47m,İngilizce,-,-
Tigers on the Rise,22/04/2024 (US),70,Rob Sullivan,Rob Sullivan,Belgesel,1h 18m,İngilizce,-,-
,08/07/2008 (US),67,Toshiyuki Kubooka,,"Bilim-Kurgu,Animasyon,Aksiyon,Suç,Gerilim",1h 16m,İngilizce,"$3,500,000.00",-
Kırmızı Keman,10/09/1998 (CA),74,François Girard,François Girard,"Dram,Gerilim,Gizem,Müzik,Romantik",2h 11m,Fransızca,"$18,000,000.00","$9,495,408.00"
Fırtına Üçlü – Amansız Takip,15/08/1985 (HK),66,Sammo Hung,,"Aksiyon,Komedi",1h 45m,Cantonese,"$9,023,199.00",-
